k,l,execution_time,n_equivalence_classes,avg_class_size,min_class_size,max_class_size,records_suppressed,suppression_rate,theoretical_reident,empirical_reident,attr_disclosure,diversity_entropy,information_loss,avg_query_error,privacy_score,utility_score,k_satisfied,l_satisfied
3,2,0.22615814208984375,18,277.77777777777777,3,677,0,0.0,0.3333333333333333,0.0,0.26588719952824846,2.6827475102458047,0.6070522577371892,0.1292127813307068,0.8670564002358758,0.3929477422628108,True,True
3,3,0.19742226600646973,8,625.0,118,1196,0,0.0,0.3333333333333333,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
3,4,0.2207491397857666,8,625.0,118,1196,0,0.0,0.3333333333333333,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
3,5,0.21949386596679688,8,625.0,118,1196,0,0.0,0.3333333333333333,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
5,2,0.25817298889160156,8,625.0,118,1196,0,0.0,0.2,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
5,3,0.19917798042297363,8,625.0,118,1196,0,0.0,0.2,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
5,4,0.23874711990356445,8,625.0,118,1196,0,0.0,0.2,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
5,5,0.20438027381896973,8,625.0,118,1196,0,0.0,0.2,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
10,2,0.24963617324829102,8,625.0,118,1196,0,0.0,0.1,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
10,3,0.20534181594848633,8,625.0,118,1196,0,0.0,0.1,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
10,4,0.23531079292297363,8,625.0,118,1196,0,0.0,0.1,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
10,5,0.1926867961883545,8,625.0,118,1196,0,0.0,0.1,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
20,2,0.23137688636779785,8,625.0,118,1196,0,0.0,0.05,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
20,3,0.19103622436523438,8,625.0,118,1196,0,0.0,0.05,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
20,4,0.22003889083862305,8,625.0,118,1196,0,0.0,0.05,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
20,5,0.19683599472045898,8,625.0,118,1196,0,0.0,0.05,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
50,2,0.22925496101379395,8,625.0,118,1196,0,0.0,0.02,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
50,3,0.19268393516540527,8,625.0,118,1196,0,0.0,0.02,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
50,4,0.2543809413909912,8,625.0,118,1196,0,0.0,0.02,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
50,5,0.2003331184387207,8,625.0,118,1196,0,0.0,0.02,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
100,2,0.24782800674438477,8,625.0,118,1196,0,0.0,0.01,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
100,3,0.19518470764160156,8,625.0,118,1196,0,0.0,0.01,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
100,4,0.21546721458435059,8,625.0,118,1196,0,0.0,0.01,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
100,5,0.21252202987670898,8,625.0,118,1196,0,0.0,0.01,0.0,0.2356459676486456,2.837276268581439,0.6298833079654997,0.1516632138118793,0.8821770161756772,0.37011669203450026,True,True
